source,target,num_occurences,is_updated,is_common,source_btwn_c,target_btwn_c,source_btwn_c_rank,target_btwn_c_rank,source_eigen_c,target_eigen_c,source_eigen_c_rank,target_eigen_c_rank,source_duration,target_duration,source_duration_rank,target_duration_rank
Dahyun,Chaeyoung,26,1,1,0.1412,0.0731,3rd,5th,0.3255,0.2711,5th,8th,14.454,12.269,7th,8th
Nayeon,Jihyo,22,1,1,0.209,0.2415,2nd,1st,0.3688,0.4641,2nd,1st,27.374,26.318,1st,2nd
Jihyo,Nayeon,22,1,1,0.2415,0.209,1st,2nd,0.4641,0.3688,1st,2nd,26.318,27.374,2nd,1st
Chaeyoung,Dahyun,18,1,1,0.0731,0.1412,5th,3rd,0.2711,0.3255,8th,5th,12.269,14.454,8th,7th
Dahyun,Jihyo,18,1,1,0.1412,0.2415,3rd,1st,0.3255,0.4641,5th,1st,14.454,26.318,7th,2nd
Chaeyoung,Nayeon,15,1,1,0.0731,0.209,5th,2nd,0.2711,0.3688,8th,2nd,12.269,27.374,8th,1st
Tzuyu,Mina,15,1,1,0.0551,0.1371,8th,4th,0.3191,0.348,6th,4th,17.333,17.465,4th,3rd
Sana,Tzuyu,15,1,1,0.0591,0.0551,7th,8th,0.2789,0.3191,7th,6th,16.408,17.333,6th,4th
Jihyo,Jeongyeon,15,1,1,0.2415,0.0393,1st,9th,0.4641,0.3557,1st,3rd,26.318,16.986,2nd,5th
Momo,Jeongyeon,13,1,1,0.0625,0.0393,6th,9th,0.2049,0.3557,9th,3rd,10.598,16.986,9th,5th
Tzuyu,Sana,13,1,1,0.0551,0.0591,8th,7th,0.3191,0.2789,6th,7th,17.333,16.408,4th,6th
Mina,Momo,13,1,1,0.1371,0.0625,4th,6th,0.348,0.2049,4th,9th,17.465,10.598,3rd,9th
Jeongyeon,Jihyo,13,1,1,0.0393,0.2415,9th,1st,0.3557,0.4641,3rd,1st,16.986,26.318,5th,2nd
Momo,Nayeon,12,1,1,0.0625,0.209,6th,2nd,0.2049,0.3688,9th,2nd,10.598,27.374,9th,1st
Nayeon,Mina,12,1,1,0.209,0.1371,2nd,4th,0.3688,0.348,2nd,4th,27.374,17.465,1st,3rd
Mina,Sana,11,1,1,0.1371,0.0591,4th,7th,0.348,0.2789,4th,7th,17.465,16.408,3rd,6th
Momo,Mina,11,1,1,0.0625,0.1371,6th,4th,0.2049,0.348,9th,4th,10.598,17.465,9th,3rd
Nayeon,Jeongyeon,11,1,1,0.209,0.0393,2nd,9th,0.3688,0.3557,2nd,3rd,27.374,16.986,1st,5th
Mina,Nayeon,11,1,1,0.1371,0.209,4th,2nd,0.348,0.3688,4th,2nd,17.465,27.374,3rd,1st
Jihyo,Dahyun,10,1,1,0.2415,0.1412,1st,3rd,0.4641,0.3255,1st,5th,26.318,14.454,2nd,7th
Nayeon,Tzuyu,10,1,1,0.209,0.0551,2nd,8th,0.3688,0.3191,2nd,6th,27.374,17.333,1st,4th
Mina,Jihyo,9,1,1,0.1371,0.2415,4th,1st,0.348,0.4641,4th,1st,17.465,26.318,3rd,2nd
Jihyo,Chaeyoung,9,1,1,0.2415,0.0731,1st,5th,0.4641,0.2711,1st,8th,26.318,12.269,2nd,8th
