source,target,num_occurences,is_common,source_btwn_c,target_btwn_c,source_btwn_c_rank,target_btwn_c_rank,source_eigen_c,target_eigen_c,source_eigen_c_rank,target_eigen_c_rank,source_duration,target_duration,source_duration_rank,target_duration_rank
Chaeyoung,Tzuyu,1,0,0.0,0.33928571428571425,9th,5th,1.100862596231326e-14,0.32939151903337427,9th,5th,14.3,17.02,9th,4th
Dahyun,Jihyo,1,1,0.10714285714285714,0.4821428571428571,7th,1st,0.17503342788395532,0.35446184277655857,8th,3rd,14.819999999999999,28.919999999999998,6th,2nd
Jeongyeon,Dahyun,1,0,0.125,0.10714285714285714,6th,7th,0.2490828974221467,0.17503342788395532,7th,8th,17.5,14.819999999999999,3rd,6th
Jihyo,Jeongyeon,1,1,0.4821428571428571,0.125,1st,6th,0.35446184277655857,0.2490828974221467,3rd,7th,28.919999999999998,17.5,2nd,3rd
Jihyo,Nayeon,1,1,0.4821428571428571,0.375,1st,3rd,0.35446184277655857,0.48054536760073463,3rd,1st,28.919999999999998,35.08,2nd,1st
Mina,Momo,1,1,0.3571428571428571,0.4107142857142857,4th,2nd,0.33768056583085077,0.46875180092036406,4th,2nd,14.780000000000001,14.82,7th,5th
Momo,Sana,1,0,0.4107142857142857,0.05357142857142857,2nd,8th,0.46875180092036406,0.3293915190329889,2nd,6th,14.82,14.739999999999998,5th,8th
Momo,Tzuyu,1,0,0.4107142857142857,0.33928571428571425,2nd,5th,0.46875180092036406,0.32939151903337427,2nd,5th,14.82,17.02,5th,4th
Nayeon,Mina,1,1,0.375,0.3571428571428571,3rd,4th,0.48054536760073463,0.33768056583085077,1st,4th,35.08,14.780000000000001,1st,7th
Sana,Nayeon,1,0,0.05357142857142857,0.375,8th,3rd,0.3293915190329889,0.48054536760073463,6th,1st,14.739999999999998,35.08,8th,1st
Tzuyu,Jihyo,1,0,0.33928571428571425,0.4821428571428571,5th,1st,0.32939151903337427,0.35446184277655857,5th,3rd,17.02,28.919999999999998,4th,2nd
Tzuyu,Momo,1,0,0.33928571428571425,0.4107142857142857,5th,2nd,0.32939151903337427,0.46875180092036406,5th,2nd,17.02,14.82,4th,5th
